datetime,open,high,low,close,volume,RSI_D,EMA_50_D,EMA_100_D,EMA_200_D,RSI_W,EMA_50_W,EMA_100_W,EMA_200_W,RSI_M,EMA_50_M,EMA_100_M,EMA_200_M
2020-11-20 12:11:00,1710.0,1850.0,1700.0,1819.55,11310647,,,,,,,,,,,,
2020-11-23 12:11:00,1844.0,2183.45,1840.0,2089.05,3893237,,,,,,,,,,,,
2020-11-24 12:11:00,2110.0,2174.8,1960.2,2048.5,1961368,,,,,,,,,,,,
2020-11-25 12:11:00,2077.0,2222.0,2036.1,2053.0,2771893,,,,,,,,,,,,
2020-11-26 12:11:00,2074.4,2155.9,2070.0,2106.7,1211725,,,,,,,,,,,,
2020-11-27 12:11:00,2125.0,2151.0,2092.0,2113.0,780377,,,,,,,,,,,,
2020-12-01 12:12:00,2120.0,2220.0,2110.0,2191.05,990336,,,,,,,,,,,,
2020-12-02 12:12:00,2205.0,2212.9,2141.1,2184.75,649329,,,,,,,,,,,,
2020-12-03 12:12:00,2198.0,2239.0,2174.0,2202.4,399313,,,,,,,,,,,,
2020-12-04 12:12:00,2212.0,2220.0,2169.0,2178.45,409649,,,,,,,,,,,,
2020-12-07 12:12:00,2179.0,2438.85,2164.0,2352.8,967392,,,,,,,,,,,,
2020-12-08 12:12:00,2368.0,2396.85,2292.0,2305.5,317512,,,,,,,,,,,,
2020-12-09 12:12:00,2320.0,2349.95,2275.0,2279.5,192250,,,,,,,,,,,,
2020-12-10 12:12:00,2278.0,2278.45,2205.0,2250.05,255923,71.83402684291356,,,,,,,,,,,
2020-12-11 12:12:00,2258.0,2274.6,2227.85,2241.6,177900,70.48744988559412,,,,,,,,,,,
2020-12-14 12:12:00,2245.0,2273.0,2221.0,2224.4,167368,67.70530288872982,,,,,,,,,,,
2020-12-15 12:12:00,2228.0,2230.0,2178.0,2197.15,246370,63.43351394916753,,,,,,,,,,,
2020-12-16 12:12:00,2199.0,2252.2,2190.0,2196.2,411542,63.28360757066076,,,,,,,,,,,
2020-12-17 12:12:00,2199.0,2203.95,2115.5,2178.3,1643980,60.38783206664385,,,,,,,,,,,
2020-12-18 12:12:00,2180.0,2255.0,2164.0,2226.5,885005,65.02836905363796,,,,,,,,,,,
2020-12-21 12:12:00,2244.95,2440.0,2152.15,2319.75,1464484,71.88948698397783,,,,,,,,,,,
2020-12-22 12:12:00,2341.2,2395.0,2240.0,2328.25,435493,72.42063795781075,,,,,,,,,,,
2020-12-23 12:12:00,2350.0,2396.8,2330.0,2353.05,512028,73.96625969636274,,,,,,,,,,,
2020-12-24 12:12:00,2360.0,2429.0,2339.0,2408.35,575779,77.05427171329252,,,,,,,,,,,
2020-12-28 12:12:00,2439.0,2508.55,2380.0,2393.65,448777,74.5237278395194,,,,,,,,,,,
2020-12-29 12:12:00,2409.0,2425.0,2335.0,2348.6,400122,67.2361662573971,,,,,,,,,,,
2020-12-30 12:12:00,2355.8,2363.7,2296.0,2351.0,243725,67.41895682512396,,,,,,,,,,,
2020-12-31 12:12:00,2356.0,2404.0,2326.0,2339.75,362391,65.57222037112813,,,,,,,,,,,
2021-01-01 12:01:00,2344.9,2388.0,2344.9,2369.7,92306,68.07906536098193,,,,,,,,,,,
